LOW,115
MEDIUM,40
HIGH,110
LOW,140
LOW,190
LOW,170
LOW,60
MEDIUM,105
MEDIUM,100
MEDIUM,70
MEDIUM,50
LOW,95
HIGH,45
HIGH,45
LOW,145
LOW,380
LOW,240
MEDIUM,190
LOW,740
HIGH,125
LOW,330
LOW,280
HIGH,70
HIGH,110
LOW,290
LOW,210
HIGH,105
HIGH,0
LOW,720
LOW,0
